"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-121",109.5,"2018",20,"20-9",48.10384,-80.19977597,"ONKE","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,108.5,108.5,108.5,2.50704347826087,0.5,NA,4
"E1-122",85,"2018",22,"22-64",46.75552,-79.04650404,"QCTM","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,85.5,85.5,85.5,1.72704347826087,0.2,NA,5
"E1-123",111,"2018",11,"11-41",43.28958,-76.128568,"NYWM","E1","Sprayed",218,211,230,895.6,1427.3,797.4,1294.1,1038,1629.7,113.5,113.5,113.5,10.9270434782609,0.25,NA,8
"E1-124",133.5,"2018",8,"8-36",41.97527,-75.19598002,"NYEB","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,111,111,111,1.66704347826087,0.4,NA,5
"E1-125",142,"2018",4,"4-26",40.06813,-76.90717204,"PAGP","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,144.5,144.5,144.5,9.23704347826087,0.166666666666667,NA,6
"E1-126",94.5,"2018",4,"4-66",40.06813,-76.90717204,"PAGP","E1","Sprayed",218,197,230,895.6,1427.3,627.8,1054.5,1038,1629.7,95,95,95,8.02704347826087,0,NA,9
"E1-127",71.5,"2018",19,"19-53",47.73136,-80.32791398,"ONEL","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,70,70,70,6.77704347826087,0,NA,3
"E1-128",72,"2018",15,"15-7",44.2915,-79.04909003,"ONBV","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,71,71,71,14.9870434782609,0.142857142857143,NA,7
"E1-129",101,"2018",3,"3-34",40.23327,-77.280415,"PAOL","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,101,101,101,1.87704347826087,0.333333333333333,NA,3
"E1-13",90,"2018",9,"9-49",42.79109,-76.135327,"NYTY","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,86.5,86.5,86.5,12.9570434782609,0,NA,7
"E1-130",116,"2018",16,"16-13",44.75284,-79.33799797,"ONWA","E1","Sprayed",190,179,218,533.4,925.1,386,722.7,895.6,1427.3,113,113,113,6.89704347826087,0,NA,5
