"ind","pop","fam","lat","lon"
"E1-128","15","7",44.2915,-79.04909003
"E1-129","3","34",40.23327,-77.280415
"E1-130","16","13",44.75284,-79.33799797
"E1-131","19","31",47.73136,-80.32791398
"E1-132","10","29",43.69717,-76.19529499
"E1-133","14","79",44.29771,-78.300041
"E1-134","10","72",43.69717,-76.19529499
"E1-135","9","36",42.79109,-76.135327
"E1-136","13","26",44.6076,-76.27898502
"E1-137","19","59",47.73136,-80.32791398
"E1-138","6","55",41.57154,-74.48428896
"E1-139","12","52",44.54749,-76.12868903
"E1-140","4","65",40.06813,-76.90717204
"E1-141","11","46",43.28958,-76.128568
"E1-142","22","32",46.75552,-79.04650404
"E1-143","10","7",43.69717,-76.19529499
"E1-144","4","73",40.06813,-76.90717204
"E1-145","4","48",40.06813,-76.90717204
"E1-146","6","56",41.57154,-74.48428896
"E1-147","8","58",41.97527,-75.19598002
"E1-148","8","32",41.97527,-75.19598002
"E1-149","10","30",43.69717,-76.19529499
"E1-150","5","14",41.42692,-75.63466896
"E1-151","12","36",44.54749,-76.12868903
"E1-152","13","47",44.6076,-76.27898502
"E1-153","22","57",46.75552,-79.04650404
"E1-154","1","71",38.8235,-77.71118397
"E1-155","10","37",43.69717,-76.19529499
"E1-156","8","59",41.97527,-75.19598002
"E1-157","12","22",44.54749,-76.12868903
"E1-158","15","72",44.2915,-79.04909003
"E1-159","6","44",41.57154,-74.48428896
"E1-160","2","74",38.7966,-77.29988901
"E1-161","10","80",43.69717,-76.19529499
"E1-162","2","46",38.7966,-77.29988901
"E1-163","18","50",45.76868,-79.39777502
"E1-164","10","76",43.69717,-76.19529499
"E1-165","16","70",44.75284,-79.33799797
"E1-166","8","12",41.97527,-75.19598002
"E1-167","3","53",40.23327,-77.280415
"E1-168","8","75",41.97527,-75.19598002
"E1-169","2","21",38.7966,-77.29988901
"E1-170","10","54",43.69717,-76.19529499
"E1-171","3","46",40.23327,-77.280415
"E1-172","4","64",40.06813,-76.90717204
"E1-173","16","52",44.75284,-79.33799797
"E1-174","8","55",41.97527,-75.19598002
"E1-175","19","69",47.73136,-80.32791398
"E1-176","22","45",46.75552,-79.04650404
"E1-177","1","12",38.8235,-77.71118397
"E1-178","18","2",45.76868,-79.39777502
"E1-179","12","68",44.54749,-76.12868903
"E1-180","17","70",45.02376,-79.31190301
"E1-181","17","48",45.02376,-79.31190301
"E1-182","3","75",40.23327,-77.280415
"E1-183","15","56",44.2915,-79.04909003
"E1-184","14","17",44.29771,-78.300041
"E1-185","12","3",44.54749,-76.12868903
"E1-186","17","21",45.02376,-79.31190301
"E1-187","3","24",40.23327,-77.280415
"E1-188","13","33",44.6076,-76.27898502
"E1-189","5","28",41.42692,-75.63466896
"E1-190","2","35",38.7966,-77.29988901
"E1-191","11","58",43.28958,-76.128568
"E1-192","22","48",46.75552,-79.04650404
"E1-193","15","23",44.2915,-79.04909003
"E1-194","10","62",43.69717,-76.19529499
"E1-195","5","37",41.42692,-75.63466896
"E1-196","12","6",44.54749,-76.12868903
"E1-197","5","74",41.42692,-75.63466896
"E1-198","12","47",44.54749,-76.12868903
"E1-199","12","29",44.54749,-76.12868903
"E1-200","19","38",47.73136,-80.32791398
"E2-1","6","5",41.57154,-74.48428896
"E2-2","15","74",44.2915,-79.04909003
"E2-3","11","26",43.28958,-76.128568
"E2-4","3","46",40.23327,-77.280415
"E2-5","8","43",41.97527,-75.19598002
"E2-6","9","54",42.79109,-76.135327
"E2-7","14","79",44.29771,-78.300041
"E2-8","9","27",42.79109,-76.135327
"E2-9","22","64",46.75552,-79.04650404
"E2-10","4","14",40.06813,-76.90717204
"E2-11","12","29",44.54749,-76.12868903
"E2-12","18","2",45.76868,-79.39777502
"E2-13","19","69",47.73136,-80.32791398
"E2-14","10","29",43.69717,-76.19529499
"E2-15","17","59",45.02376,-79.31190301
"E2-16","10","76",43.69717,-76.19529499
"E2-17","14","39",44.29771,-78.300041
"E2-18","19","59",47.73136,-80.32791398
"E2-19","10","72",43.69717,-76.19529499
"E2-20","5","37",41.42692,-75.63466896
"E2-21","10","7",43.69717,-76.19529499
"E2-22","14","21",44.29771,-78.300041
"E2-23","4","48",40.06813,-76.90717204
"E2-24","16","70",44.75284,-79.33799797
"E2-25","13","45",44.6076,-76.27898502
"E2-26","12","60",44.54749,-76.12868903
"E2-27","13","47",44.6076,-76.27898502
"E2-28","3","34",40.23327,-77.280415
