"ind","FFDAYS","FLOWER"
"E10-138",185,TRUE
"E10-139",200,TRUE
"E10-14",192,TRUE
"E10-140",179,TRUE
"E10-141",192,TRUE
"E10-142",200,TRUE
"E10-143",185,TRUE
"E10-144",212,TRUE
"E10-145",185,TRUE
"E10-146",185,TRUE
"E10-147",212,TRUE
"E10-148",179,TRUE
"E10-149",192,TRUE
"E10-15",192,TRUE
"E10-150",179,TRUE
"E10-151",179,TRUE
"E10-152",192,TRUE
"E10-153",192,TRUE
"E10-154",192,TRUE
"E10-155",185,TRUE
"E10-156",185,TRUE
"E10-157",200,TRUE
"E10-158",179,TRUE
"E10-159",179,TRUE
"E10-16",192,TRUE
"E10-160",185,TRUE
"E10-161",192,TRUE
"E10-162",185,TRUE
"E10-163",192,TRUE
"E10-164",185,TRUE
"E10-165",185,TRUE
"E10-166",192,TRUE
"E10-167",185,TRUE
"E10-168",185,TRUE
"E10-169",192,TRUE
"E10-17",192,TRUE
"E10-170",172,TRUE
"E10-171",172,TRUE
"E10-172",185,TRUE
"E10-173",179,TRUE
"E10-174",192,TRUE
"E10-175",200,TRUE
"E10-176",185,TRUE
"E10-177",185,TRUE
"E10-178",220,TRUE
"E10-179",212,TRUE
"E10-18",179,TRUE
"E10-180",179,TRUE
"E10-181",192,TRUE
"E10-182",172,TRUE
"E10-183",185,TRUE
"E10-184",179,TRUE
"E10-185",179,TRUE
"E10-186",185,TRUE
"E10-187",185,TRUE
"E10-188",192,TRUE
"E10-189",192,TRUE
"E10-19",200,TRUE
"E10-190",179,TRUE
"E10-191",192,TRUE
"E10-192",200,TRUE
"E10-193",200,TRUE
"E10-194",200,TRUE
"E10-195",185,TRUE
"E10-196",185,TRUE
"E10-197",200,TRUE
"E10-198",179,TRUE
"E10-199",185,TRUE
"E10-2",172,TRUE
"E10-20",212,TRUE
"E10-200",192,TRUE
"E10-201",200,TRUE
"E10-21",172,TRUE
"E10-22",212,TRUE
"E10-23",185,TRUE
"E10-24",192,TRUE
"E10-25",212,TRUE
"E10-26",185,TRUE
"E10-27",192,TRUE
"E10-28",192,TRUE
"E10-29",185,TRUE
"E10-3",192,TRUE
"E10-30",192,TRUE
"E10-31",185,TRUE
"E10-32",192,TRUE
