"Block","Pos","rawWeight","Weight"
"E3",1,80.87,56.725
"E3",2,54.87,30.725
"E3",3,27.99,3.845
"E3",4,41.68,17.535
"E3",5,39.73,15.585
"E3",6,24.33,0.184999999999999
"E3",7,35.44,11.295
"E3",8,73.22,49.075
"E3",9,30.01,5.865
"E3",10,29.19,5.045
"E3",11,26.94,2.795
"E3",12,30.32,6.175
"E3",13,35.87,11.725
"E3",14,36.76,12.615
"E3",15,34.36,10.215
"E3",16,33.54,9.395
"E3",17,34.75,10.605
"E3",18,63.99,39.845
"E3",19,38.76,14.615
"E3",20,49.19,25.045
"E3",21,23.58,0
"E3",22,31.17,7.025
"E3",23,47.71,23.565
"E3",24,36.65,12.505
"E3",25,61.46,37.315
"E3",26,33.6,9.455
"E3",27,28.66,4.515
"E3",28,63.56,39.415
"E3",29,30.5,6.355
"E3",30,38.16,14.015
"E3",31,30.01,5.865
"E3",32,30.64,6.495
"E3",33,95.59,71.445
"E3",34,28.21,4.065
"E3",35,36.89,12.745
"E3",36,57.03,32.885
"E3",37,26.56,2.415
"E3",38,33.35,9.205
"E3",39,27.3,3.155
"E3",40,36.97,12.825
"E3",41,45.91,21.765
"E3",42,45.61,21.465
"E3",43,43.36,19.215
"E3",44,26.53,2.385
"E3",45,49.8,25.655
"E3",46,35.26,11.115
"E3",47,43.2,19.055
"E3",48,37.07,12.925
"E3",49,29.15,5.005
"E3",50,24.51,0.365000000000002
"E3",51,24.91,0.765000000000001
"E3",52,51.81,27.665
"E3",53,44.47,20.325
"E3",54,64.65,40.505
"E3",55,49.83,25.685
"E3",56,36.66,12.515
"E3",57,25.8,1.655
"E3",58,51.99,27.845
"E3",59,32.46,8.315
"E3",60,54.03,29.885
"E3",61,44.82,20.675
"E3",62,31.75,7.605
"E3",63,69.53,45.385
"E3",64,34.04,9.895
"E3",65,48.25,24.105
"E3",66,43.69,19.545
"E3",67,36.39,12.245
"E3",68,31.24,7.095
"E3",69,50.35,26.205
"E3",70,59.83,35.685
"E3",71,34.6,10.455
"E3",72,31.93,7.785
"E3",73,50.48,26.335
"E3",74,41.03,16.885
"E3",75,35.34,11.195
"E3",76,53.97,29.825
"E3",77,43.62,19.475
"E3",78,72.05,47.905
"E3",79,45.88,21.735
"E3",80,54.15,30.005
"E3",81,24.78,0.635000000000002
"E3",82,31.02,6.875
"E3",83,43.11,18.965
"E3",84,28.39,4.245
"E3",85,24.73,0.585000000000001
"E3",86,25.41,1.265
"E3",87,38.86,14.715
"E3",88,38.21,14.065
"E3",90,46.49,22.345
"E3",92,42.31,18.165
"E3",93,42.01,17.865
"E3",94,35.72,11.575
"E3",95,40.15,16.005
"E3",96,87.65,63.505
"E3",97,30.22,6.075
"E3",98,64.31,40.165
"E3",99,26.79,2.645
"E3",100,43.34,19.195
"E3",101,45.75,21.605
"E3",102,26.06,1.915
"E3",103,77.35,53.205
"E3",104,35.25,11.105
"E3",105,45.26,21.115
"E3",106,38.58,14.435
"E3",107,24.05,0
"E3",108,25.82,1.675
"E3",109,33.84,9.695
"E3",110,29.8,5.655
"E3",111,75.74,51.595
"E3",112,27.83,3.685
"E3",113,36.54,12.395
"E3",114,26.42,2.275
"E3",115,42.64,18.495
"E3",116,43.58,19.435
"E3",117,28.83,4.685
"E3",118,26.39,2.245
"E3",119,26.05,1.905
"E3",120,27.22,3.075
"E3",121,43.5,19.355
"E3",122,24.53,0.385000000000002
"E3",123,25.65,1.505
"E3",124,28.34,4.195
"E3",125,31.75,7.605
"E3",126,43.87,19.725
"E3",127,38.03,13.885
"E3",128,40.27,16.125
"E3",129,35.05,10.905
"E3",130,28.56,4.415
"E3",131,37.93,13.785
"E3",132,24.69,0.545000000000002
"E3",133,26.79,2.645
"E3",134,29.66,5.515
"E3",135,40,15.855
"E3",136,43.69,19.545
"E3",137,26.74,2.595
"E3",138,35.25,11.105
"E3",139,30.98,6.835
"E3",140,28.13,3.985
"E3",141,68.73,44.585
"E3",142,24.59,0.445
"E3",143,39.72,15.575
"E3",144,35.59,11.445
"E3",145,41.2,17.055
"E3",146,31.16,7.015
"E3",147,28.01,3.865
"E3",148,37.67,13.525
"E3",149,28.56,4.415
"E3",150,55.27,31.125
"E3",151,39.53,15.385
"E3",152,24.87,0.725000000000001
"E3",153,39.65,15.505
"E3",154,27.62,3.475
"E3",155,24.16,0.0150000000000006
"E3",156,56.41,32.265
"E3",157,29.53,5.385
"E3",158,39.81,15.665
"E3",159,29.71,5.565
"E3",160,28.67,4.525
"E3",161,50.53,26.385
"E3",162,26.69,2.545
"E3",163,33.76,9.615
"E3",164,35.1,10.955
"E3",165,54.67,30.525
"E3",166,23.46,0
"E3",167,26.83,2.685
"E3",168,26.83,2.685
"E3",169,28.53,4.385
"E3",170,29.23,5.085
"E3",171,57.86,33.715
"E3",172,36.14,11.995
"E3",173,47.77,23.625
"E3",174,23.83,0
"E3",175,27.6,3.455
"E3",176,37.83,13.685
"E3",177,26.69,2.545
"E3",178,33.65,9.505
"E3",179,26.61,2.465
"E3",180,43.66,19.515
"E3",181,25.4,1.255
"E3",182,28.68,4.535
"E3",183,34.31,10.165
"E3",184,62.08,37.935
"E3",185,30.73,6.585
"E3",186,33.01,8.865
"E3",187,28.04,3.895
"E3",188,28.64,4.495
"E3",189,32.2,8.055
"E3",190,26.6,2.455
"E3",191,25.39,1.245
"E3",192,27.84,3.695
"E3",193,49.48,25.335
"E3",194,67.52,43.375
"E3",195,31.39,7.245
"E3",196,57.13,32.985
"E3",197,28.68,4.535
"E3",198,33.47,9.325
"E3",199,47.86,23.715
"E3",200,34.28,10.135
"E12",1,79.67,55.525
"E12",2,31.22,7.075
"E12",3,38.2,14.055
"E12",4,31.01,6.865
"E12",5,29.04,4.895
"E12",6,43.09,18.945
"E12",7,26.37,2.225
"E12",8,30.35,6.205
"E12",9,46.54,22.395
"E12",10,29.16,5.015
"E12",11,27.74,3.595
"E12",12,32.24,8.095
"E12",13,25.97,1.825
"E12",14,26.56,2.415
"E12",15,32.07,7.925
"E12",16,51.36,27.215
"E12",17,25.27,1.125
"E12",18,41.89,17.745
"E12",19,45.51,21.365
"E12",20,39.27,15.125
"E12",21,34.41,10.265
"E12",22,26.63,2.485
"E12",23,31.39,7.245
"E12",24,32.89,8.745
"E12",25,28.94,4.795
"E12",26,48.02,23.875
"E12",27,25.66,1.515
"E12",28,87.69,63.545
"E12",29,25.4,1.255
"E12",30,32.47,8.325
"E12",31,24.58,0.434999999999999
"E12",32,30.2,6.055
"E12",33,28.01,3.865
"E12",34,33.77,9.625
"E12",35,35.93,11.785
"E12",36,29.56,5.415
"E12",37,27.5,3.355
"E12",38,30.87,6.725
"E12",39,40.77,16.625
"E12",40,25.62,1.475
"E12",41,42.09,17.945
"E12",42,23.65,0
"E12",43,56.95,32.805
"E12",44,40.83,16.685
"E12",45,23.18,0
"E12",46,80.67,56.525
"E12",47,28.86,4.715
"E12",48,45.45,21.305
"E12",49,63.48,39.335
"E12",50,36.89,12.745
"E12",51,30.06,5.915
"E12",52,27.66,3.515
"E12",53,30.12,5.975
"E12",54,24.37,0.225000000000001
"E12",55,27.33,3.185
"E12",56,68.17,44.025
"E12",57,29.27,5.125
"E12",58,33.43,9.285
"E12",59,23.99,0
"E12",60,32.39,8.245
"E12",61,29.54,5.395
"E12",62,32.39,8.245
"E12",63,28.75,4.605
"E12",64,29.92,5.775
"E12",65,26.16,2.015
"E12",66,43.81,19.665
"E12",67,26.14,1.995
"E12",68,23.63,0
"E12",69,39.62,15.475
"E12",70,24.99,0.844999999999999
"E12",71,35.6,11.455
"E12",72,27.98,3.835
"E12",73,38.34,14.195
"E12",74,34.59,10.445
"E12",75,29.6,5.455
"E12",76,30.35,6.205
"E12",77,26.28,2.135
"E12",78,25.59,1.445
"E12",79,27.98,3.835
