"ind","block","individual","date","surveyor","stem_length","bud_length","flower_length","fruit_length","note","stem_switch","cdate","round"
"E1-67","E1",67,2018-06-20,"N/A",81,82.5,NA,NA,"","","2018-06-20","1"
"E1-68","E1",68,2018-06-20,"N/A",93,94.5,NA,NA,"","","2018-06-20","1"
"E1-69","E1",69,2018-06-20,"N/A",83.5,NA,NA,NA,"","","2018-06-20","1"
"E1-70","E1",70,2018-06-20,"N/A",104,109,NA,NA,"","","2018-06-20","1"
"E1-71","E1",71,2018-06-20,"N/A",107,NA,NA,NA,"","","2018-06-20","1"
"E1-72","E1",72,2018-06-20,"N/A",88.5,NA,NA,NA,"","","2018-06-20","1"
"E1-73","E1",73,2018-06-20,"N/A",93,NA,NA,NA,"","","2018-06-20","1"
"E1-74","E1",74,2018-06-20,"N/A",72,NA,NA,NA,"","","2018-06-20","1"
"E1-75","E1",75,2018-06-20,"N/A",99.5,NA,NA,NA,"","","2018-06-20","1"
"E1-76","E1",76,2018-06-20,"N/A",113.5,NA,NA,NA,"","","2018-06-20","1"
"E1-77","E1",77,2018-06-20,"N/A",90.5,NA,NA,NA,"","","2018-06-20","1"
"E1-78","E1",78,2018-06-20,"N/A",84,NA,NA,NA,"","","2018-06-20","1"
"E1-79","E1",79,2018-06-20,"N/A",78,NA,NA,NA,"","","2018-06-20","1"
"E1-80","E1",80,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-81","E1",81,2018-06-20,"N/A",83.5,NA,NA,NA,"","","2018-06-20","1"
"E1-82","E1",82,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-83","E1",83,2018-06-20,"N/A",90,93,NA,NA,"","","2018-06-20","1"
"E1-84","E1",84,2018-06-20,"N/A",88,NA,NA,NA,"","","2018-06-20","1"
"E1-85","E1",85,2018-06-20,"N/A",61,NA,NA,NA,"","","2018-06-20","1"
"E1-86","E1",86,2018-06-20,"N/A",77,78,NA,NA,"","","2018-06-20","1"
"E1-87","E1",87,2018-06-20,"N/A",85,NA,NA,NA,"","","2018-06-20","1"
"E1-88","E1",88,2018-06-20,"N/A",83,86,NA,NA,"","","2018-06-20","1"
