"ind","block","individual","date","surveyor","stem_length","bud_length","flower_length","fruit_length","note","stem_switch","cdate","round"
"E9-43","E9",43,2018-06-28,"Jamie",99.5,106,NA,NA,"swiched stem","","2018-06-28","2"
"E9-44","E9",44,2018-06-28,"Jamie",90,91,NA,NA,"","","2018-06-28","2"
"E9-45","E9",45,2018-06-28,"Jamie",44.5,NA,NA,NA,"","","2018-06-28","2"
"E9-46","E9",46,2018-06-28,"Jamie",73.5,75.5,NA,NA,"","","2018-06-28","2"
"E9-47","E9",47,2018-06-28,"Jamie",93,NA,NA,NA,"","","2018-06-28","2"
"E9-48","E9",48,2018-06-28,"Jamie",102,107,NA,NA,"","","2018-06-28","2"
"E9-49","E9",49,2018-06-28,"Jamie",89,90,NA,NA,"","","2018-06-28","2"
"E9-50","E9",50,2018-06-28,"Jamie",77.5,79.5,77.5,NA,"","","2018-06-28","2"
"E9-51","E9",51,2018-06-28,"Jamie",76.5,NA,NA,NA,"","","2018-06-28","2"
"E9-52","E9",52,2018-06-28,"Jamie",67,68.5,NA,NA,"","","2018-06-28","2"
"E9-53","E9",53,2018-06-28,"Jamie",69,NA,NA,NA,"","","2018-06-28","2"
"E9-54","E9",54,2018-06-28,"Jamie",94,NA,NA,NA,"","","2018-06-28","2"
"E9-55","E9",55,2018-06-28,"Jamie",45,NA,NA,NA,"","","2018-06-28","2"
"E9-56","E9",56,2018-06-28,"Jamie",75.5,77,NA,NA,"","","2018-06-28","2"
"E9-57","E9",57,2018-06-28,"Jamie",91,95.5,NA,NA,"","","2018-06-28","2"
"E9-58","E9",58,2018-06-28,"Jamie",47,NA,NA,NA,"","","2018-06-28","2"
"E9-59","E9",59,2018-06-28,"Jamie",106,109,NA,NA,"","","2018-06-28","2"
"E9-60","E9",60,2018-06-28,"Jamie",100,116,104.5,NA,"","","2018-06-28","2"
"E9-61","E9",61,2018-06-28,"Jamie",62,NA,NA,NA,"","","2018-06-28","2"
"E9-62","E9",62,2018-06-28,"Jamie",74.5,NA,NA,NA,"","","2018-06-28","2"
"E9-63","E9",63,2018-06-28,"Jamie",97.5,99,NA,NA,"","","2018-06-28","2"
"E9-64","E9",64,2018-06-28,"Jamie",75.5,80,NA,NA,"","","2018-06-28","2"
"E9-65","E9",65,2018-06-28,"Jamie",90.5,111,102,NA,"","","2018-06-28","2"
"E9-66","E9",66,2018-06-28,"Jamie",NA,NA,NA,NA,"","","2018-06-28","2"
"E9-67","E9",67,2018-06-28,"Jamie",91,91.5,NA,NA,"","","2018-06-28","2"
"E9-68","E9",68,2018-06-28,"Jamie",93,95,NA,NA,"","","2018-06-28","2"
"E9-69","E9",69,2018-06-28,"Jamie",63,66,NA,NA,"","","2018-06-28","2"
"E9-70","E9",70,2018-06-28,"Jamie",74,77.5,NA,NA,"","","2018-06-28","2"
"E9-71","E9",71,2018-06-28,"Jamie",77.5,94.5,77.5,NA,"","","2018-06-28","2"
"E9-72","E9",72,2018-06-28,"Jamie",50.5,NA,NA,NA,"","","2018-06-28","2"
"E9-73","E9",73,2018-06-28,"Jamie",87,88,NA,NA,"","","2018-06-28","2"
"E9-74","E9",74,2018-06-28,"Jamie",114,123.5,114,NA,"","","2018-06-28","2"
"E9-75","E9",75,2018-06-28,"Jamie",68,72.5,NA,NA,"","","2018-06-28","2"
"E9-76","E9",76,2018-06-28,"Jamie",71,72.5,NA,NA,"","","2018-06-28","2"
"E9-77","E9",77,2018-06-28,"Jamie",109,111.5,NA,NA,"","","2018-06-28","2"
"E9-78","E9",78,2018-06-28,"Jamie",137.5,149,NA,NA,"","","2018-06-28","2"
"E9-79","E9",79,2018-06-28,"Jamie",50,52,NA,NA,"","","2018-06-28","2"
"E9-80","E9",80,2018-06-28,"Jamie",88,NA,NA,NA,"","","2018-06-28","2"
"E9-81","E9",81,2018-06-28,"Jamie",91.5,111.5,104,NA,"","","2018-06-28","2"
"E9-82","E9",82,2018-06-28,"Jamie",59,59.5,NA,NA,"","","2018-06-28","2"
"E9-83","E9",83,2018-06-28,"Jamie",84.5,NA,NA,NA,"","","2018-06-28","2"
"E9-84","E9",84,2018-06-28,"Jamie",106.5,116,NA,NA,"","","2018-06-28","2"
"E9-85","E9",85,2018-06-28,"Jamie",86,102.5,92,NA,"","","2018-06-28","2"
"E9-86","E9",86,2018-06-28,"Jamie",85,86,NA,NA,"","","2018-06-28","2"
"E9-87","E9",87,2018-06-28,"Jamie",108.5,109.5,NA,NA,"","","2018-06-28","2"
"E9-88","E9",88,2018-06-28,"Jamie",120,122,NA,NA,"","","2018-06-28","2"
"E9-89","E9",89,2018-06-28,"Jamie",83,NA,NA,NA,"","","2018-06-28","2"
"E9-90","E9",90,2018-06-28,"Jamie",88,92.5,NA,NA,"","","2018-06-28","2"
"E9-91","E9",91,2018-06-28,"Jamie",20.5,NA,NA,NA,"","","2018-06-28","2"
"E9-92","E9",92,2018-06-28,"Jamie",85,NA,NA,NA,"","","2018-06-28","2"
"E9-93","E9",93,2018-06-28,"Jamie",91,92.5,NA,NA,"","","2018-06-28","2"
"E9-94","E9",94,2018-06-28,"Jamie",103,104,NA,NA,"","","2018-06-28","2"
"E9-95","E9",95,2018-06-28,"Jamie",56.5,NA,NA,NA,"","","2018-06-28","2"
"E9-96","E9",96,2018-06-28,"Jamie",90,NA,NA,NA,"","","2018-06-28","2"
"E9-97","E9",97,2018-06-28,"Jamie",61,62,NA,NA,"","","2018-06-28","2"
"E9-98","E9",98,2018-06-28,"Jamie",66,67,NA,NA,"","","2018-06-28","2"
"E9-99","E9",99,2018-06-28,"Jamie",60,NA,NA,NA,"","","2018-06-28","2"
"E9-100","E9",100,2018-06-28,"Jamie",38,NA,NA,NA,"","","2018-06-28","2"
"E9-101","E9",101,2018-06-28,"Jamie",97.5,100,NA,NA,"","","2018-06-28","2"
"E9-102","E9",102,2018-06-28,"Jamie",87,NA,NA,NA,"","","2018-06-28","2"
"E9-103","E9",103,2018-06-28,"Jamie",123,124,NA,NA,"","","2018-06-28","2"
"E9-104","E9",104,2018-06-28,"Jamie",127,NA,NA,NA,"","","2018-06-28","2"
"E9-105","E9",105,2018-06-28,"Jamie",89,NA,NA,NA,"","","2018-06-28","2"
"E9-106","E9",106,2018-06-28,"Jamie",101,NA,NA,NA,"","","2018-06-28","2"
"E9-107","E9",107,2018-06-28,"Jamie",92,94.5,NA,NA,"","","2018-06-28","2"
"E9-108","E9",108,2018-06-28,"Jamie",94,NA,NA,NA,"","","2018-06-28","2"
"E9-109","E9",109,2018-06-28,"Jamie",99,100,NA,NA,"","","2018-06-28","2"
"E9-110","E9",110,2018-06-28,"Jamie",88,NA,NA,NA,"","","2018-06-28","2"
"E9-111","E9",111,2018-06-28,"Jamie",115.5,NA,NA,NA,"","","2018-06-28","2"
"E9-112","E9",112,2018-06-28,"Jamie",53,NA,NA,NA,"","","2018-06-28","2"
"E9-113","E9",113,2018-06-28,"Jamie",81,82.5,NA,NA,"","","2018-06-28","2"
"E9-114","E9",114,2018-06-28,"Jamie",90,95,NA,NA,"","","2018-06-28","2"
"E9-115","E9",115,2018-06-28,"Jamie",80.5,NA,NA,NA,"","","2018-06-28","2"
"E9-116","E9",116,2018-06-28,"Jamie",102,107.5,NA,NA,"","","2018-06-28","2"
"E9-117","E9",117,2018-06-28,"Jamie",90.5,93.5,NA,NA,"","","2018-06-28","2"
"E9-118","E9",118,2018-06-28,"Jamie",87.5,88,NA,NA,"","","2018-06-28","2"
"E9-119","E9",119,2018-06-28,"Jamie",68,73,NA,NA,"","","2018-06-28","2"
"E9-120","E9",120,2018-06-28,"Jamie",68,NA,NA,NA,"","","2018-06-28","2"
"E9-121","E9",121,2018-06-28,"Jamie",102.5,104,NA,NA,"","","2018-06-28","2"
"E9-122","E9",122,2018-06-28,"Jamie",68,70.5,NA,NA,"","","2018-06-28","2"
"E9-123","E9",123,2018-06-28,"Jamie",93,94,NA,NA,"","","2018-06-28","2"
"E9-124","E9",124,2018-06-28,"Jamie",96,97,NA,NA,"","","2018-06-28","2"
"E9-125","E9",125,2018-06-28,"Jamie",75,NA,NA,NA,"","","2018-06-28","2"
"E9-126","E9",126,2018-06-28,"Jamie",65,NA,NA,NA,"","","2018-06-28","2"
"E9-127","E9",127,2018-06-28,"Jamie",80,NA,NA,NA,"","","2018-06-28","2"
"E9-128","E9",128,2018-06-28,"Jamie",100.5,104,NA,NA,"","","2018-06-28","2"
"E9-129","E9",129,2018-06-28,"Jamie",56,NA,NA,NA,"","","2018-06-28","2"
"E9-130","E9",130,2018-06-28,"Jamie",68,NA,NA,NA,"","","2018-06-28","2"
"E9-131","E9",131,2018-06-28,"Jamie",91,NA,NA,NA,"","","2018-06-28","2"
"E9-132","E9",132,2018-06-28,"Jamie",85,87,NA,NA,"","","2018-06-28","2"
"E9-133","E9",133,2018-06-28,"Jamie",57,NA,NA,NA,"","","2018-06-28","2"
"E9-134","E9",134,2018-06-28,"Jamie",55.5,57,NA,NA,"","","2018-06-28","2"
"E9-135","E9",135,2018-06-28,"Jamie",77.5,80,NA,NA,"","","2018-06-28","2"
"E9-136","E9",136,2018-06-28,"Jamie",69,NA,NA,NA,"","","2018-06-28","2"
"E9-137","E9",137,2018-06-28,"Jamie",63,64,NA,NA,"","","2018-06-28","2"
"E9-138","E9",138,2018-06-28,"Jamie",68,NA,NA,NA,"","","2018-06-28","2"
"E9-139","E9",139,2018-06-28,"Jamie",87,90,NA,NA,"","","2018-06-28","2"
"E9-140","E9",140,2018-06-28,"Jamie",95,97,NA,NA,"","","2018-06-28","2"
"E9-141","E9",141,2018-06-28,"Jamie",75,83.5,75.5,NA,"","","2018-06-28","2"
"E9-142","E9",142,2018-06-28,"Jamie",63.5,71,NA,NA,"","","2018-06-28","2"
"E9-143","E9",143,2018-06-28,"Jamie",89,NA,NA,NA,"","","2018-06-28","2"
"E9-144","E9",144,2018-06-28,"Jamie",81,NA,NA,NA,"","","2018-06-28","2"
"E9-145","E9",145,2018-06-28,"Jamie",75,77.5,NA,NA,"","","2018-06-28","2"
"E9-146","E9",146,2018-06-28,"Jamie",86,88.5,NA,NA,"","","2018-06-28","2"
"E9-147","E9",147,2018-06-28,"Jamie",57,84,81,NA,"","","2018-06-28","2"
"E9-148","E9",148,2018-06-28,"Jamie",90.5,95,NA,NA,"","","2018-06-28","2"
"E9-149","E9",149,2018-06-28,"Jamie",68,NA,NA,NA,"","","2018-06-28","2"
"E9-150","E9",150,2018-06-28,"Jamie",90,92,NA,NA,"","","2018-06-28","2"
"E9-151","E9",151,2018-06-28,"Jamie",90,NA,NA,NA,"","","2018-06-28","2"
"E9-152","E9",152,2018-06-28,"Jamie",63.5,66,NA,NA,"","","2018-06-28","2"
"E9-153","E9",153,2018-06-28,"Jamie",66,NA,NA,NA,"","","2018-06-28","2"
"E9-154","E9",154,2018-06-28,"Jamie",63,NA,NA,NA,"","","2018-06-28","2"
"E9-155","E9",155,2018-06-28,"Jamie",94.5,96.5,NA,NA,"","","2018-06-28","2"
"E9-156","E9",156,2018-06-28,"Jamie",76,77.5,NA,NA,"","","2018-06-28","2"
"E9-157","E9",157,2018-06-28,"Jamie",42,NA,NA,NA,"","","2018-06-28","2"
"E9-158","E9",158,2018-06-28,"Jamie",75,NA,NA,NA,"","","2018-06-28","2"
"E9-159","E9",159,2018-06-28,"Jamie",75.5,NA,NA,NA,"","","2018-06-28","2"
"E9-160","E9",160,2018-06-28,"Jamie",110,113.5,NA,NA,"","","2018-06-28","2"
"E9-161","E9",161,2018-06-28,"Jamie",86,87,NA,NA,"","","2018-06-28","2"
"E9-162","E9",162,2018-06-28,"Jamie",82.5,NA,NA,NA,"","","2018-06-28","2"
"E9-163","E9",163,2018-06-28,"Jamie",68.5,72,NA,NA,"","","2018-06-28","2"
"E9-164","E9",164,2018-06-28,"Jamie",80.5,NA,NA,NA,"","","2018-06-28","2"
"E9-165","E9",165,2018-06-28,"Jamie",93,NA,NA,NA,"","","2018-06-28","2"
"E9-166","E9",166,2018-06-28,"Jamie",57,NA,NA,NA,"","","2018-06-28","2"
"E9-167","E9",167,2018-06-28,"Jamie",107,108,NA,NA,"","","2018-06-28","2"
"E9-168","E9",168,2018-06-28,"Jamie",76,77.5,NA,NA,"","","2018-06-28","2"
"E9-169","E9",169,2018-06-28,"Jamie",84.5,NA,NA,NA,"","","2018-06-28","2"
"E9-170","E9",170,2018-06-28,"Jamie",59,NA,NA,NA,"","","2018-06-28","2"
"E9-171","E9",171,2018-06-28,"Jamie",41,NA,NA,NA,"","","2018-06-28","2"
"E9-172","E9",172,2018-06-28,"Jamie",76,NA,NA,NA,"","","2018-06-28","2"
"E9-173","E9",173,2018-06-28,"Jamie",66,NA,NA,NA,"","","2018-06-28","2"
"E9-174","E9",174,2018-06-28,"Jamie",87,NA,NA,NA,"","","2018-06-28","2"
"E9-175","E9",175,2018-06-28,"Jamie",93,NA,NA,NA,"","","2018-06-28","2"
"E9-176","E9",176,2018-06-28,"Jamie",NA,NA,NA,NA,"","","2018-06-28","2"
"E9-177","E9",177,2018-06-28,"Jamie",92,NA,NA,NA,"","","2018-06-28","2"
"E9-178","E9",178,2018-06-28,"Jamie",101,NA,NA,NA,"","","2018-06-28","2"
"E9-179","E9",179,2018-06-28,"Jamie",74,NA,NA,NA,"","","2018-06-28","2"
"E9-180","E9",180,2018-06-28,"Jamie",105.5,NA,NA,NA,"","","2018-06-28","2"
"E9-181","E9",181,2018-06-28,"Jamie",79,80,NA,NA,"","","2018-06-28","2"
"E9-182","E9",182,2018-06-28,"Jamie",56,NA,NA,NA,"","","2018-06-28","2"
"E9-183","E9",183,2018-06-28,"Jamie",103,107.5,NA,NA,"","","2018-06-28","2"
"E9-184","E9",184,2018-06-28,"Jamie",73,NA,NA,NA,"","","2018-06-28","2"
"E9-185","E9",185,2018-06-28,"Jamie",84.5,NA,NA,NA,"","","2018-06-28","2"
"E9-186","E9",186,2018-06-28,"Jamie",89,90,NA,NA,"","","2018-06-28","2"
"E9-187","E9",187,2018-06-28,"Jamie",84.5,NA,NA,NA,"","","2018-06-28","2"
"E9-188","E9",188,2018-06-28,"Jamie",73,NA,NA,NA,"","","2018-06-28","2"
"E9-189","E9",189,2018-06-28,"Jamie",87,NA,NA,NA,"","","2018-06-28","2"
"E9-190","E9",190,2018-06-28,"Jamie",73.5,NA,NA,NA,"","","2018-06-28","2"
"E9-191","E9",191,2018-06-28,"Jamie",90,92,NA,NA,"","","2018-06-28","2"
"E9-192","E9",192,2018-06-28,"Jamie",74,75.5,NA,NA,"","","2018-06-28","2"
"E9-193","E9",193,2018-06-28,"Jamie",75,NA,NA,NA,"","","2018-06-28","2"
"E9-194","E9",194,2018-06-28,"Jamie",68,NA,NA,NA,"","","2018-06-28","2"
"E9-195","E9",195,2018-06-28,"Jamie",99,NA,NA,NA,"","","2018-06-28","2"
"E9-196","E9",196,2018-06-28,"Jamie",73.5,74.5,NA,NA,"","","2018-06-28","2"
"E9-197","E9",197,2018-06-28,"Jamie",52,NA,NA,NA,"","","2018-06-28","2"
"E9-198","E9",198,2018-06-28,"Jamie",66,NA,NA,NA,"","","2018-06-28","2"
"E9-199","E9",199,2018-06-28,"Jamie",69,NA,NA,NA,"","","2018-06-28","2"
"E9-200","E9",200,2018-06-28,"Jamie",78,NA,NA,NA,"","","2018-06-28","2"
"E9-201","E9",201,2018-06-28,"Jamie",79.5,NA,NA,NA,"","","2018-06-28","2"
"E9-202","E9",202,2018-06-28,"Jamie",79,NA,NA,NA,"","","2018-06-28","2"
"E7-1","E7",1,2018-07-04,"jamie",43,NA,NA,NA,"","","2018-07-04","3"
"E7-2","E7",2,2018-07-04,"jamie",79,83,NA,NA,"","","2018-07-04","3"
"E7-3","E7",3,2018-07-04,"jamie",74,NA,NA,NA,"","","2018-07-04","3"
"E7-4","E7",4,2018-07-04,"jamie",46.5,NA,NA,NA,"","","2018-07-04","3"
"E7-5","E7",5,2018-07-04,"jamie",81,85,NA,NA,"","","2018-07-04","3"
"E7-6","E7",6,2018-07-04,"jamie",71,73.5,NA,NA,"","","2018-07-04","3"
"E7-7","E7",7,2018-07-04,"jamie",63,57.5,NA,NA,"","","2018-07-04","3"
"E7-8","E7",8,2018-07-04,"jamie",66,NA,NA,NA,"","","2018-07-04","3"
"E7-9","E7",9,2018-07-04,"jamie",51,52.5,NA,NA,"","","2018-07-04","3"
"E7-10","E7",10,2018-07-04,"jamie",36,NA,NA,NA,"","","2018-07-04","3"
"E7-11","E7",11,2018-07-04,"jamie",82,85.5,NA,NA,"","","2018-07-04","3"
"E7-12","E7",12,2018-07-04,"jamie",67,NA,NA,NA,"","","2018-07-04","3"
"E7-13","E7",13,2018-07-04,"jamie",63.5,65,NA,NA,"","","2018-07-04","3"
"E7-14","E7",14,2018-07-04,"jamie",63,NA,NA,NA,"","","2018-07-04","3"
"E7-15","E7",15,2018-07-04,"jamie",48,NA,NA,NA,"","","2018-07-04","3"
"E7-16","E7",16,2018-07-04,"jamie",56,NA,NA,NA,"","","2018-07-04","3"
"E7-17","E7",17,2018-07-04,"jamie",62.5,68,NA,NA,"","","2018-07-04","3"
"E7-18","E7",18,2018-07-04,"jamie",59,NA,NA,NA,"","","2018-07-04","3"
"E7-19","E7",19,2018-07-04,"jamie",50,NA,NA,NA,"","","2018-07-04","3"
"E7-20","E7",20,2018-07-04,"jamie",33.5,NA,NA,NA,"","","2018-07-04","3"
"E7-21","E7",21,2018-07-04,"jamie",76.5,92.5,85.5,NA,"","","2018-07-04","3"
"E7-22","E7",22,2018-07-04,"jamie",55,NA,NA,NA,"","","2018-07-04","3"
"E7-23","E7",23,2018-07-04,"jamie",56,NA,NA,NA,"","","2018-07-04","3"
"E7-24","E7",24,2018-07-04,"jamie",84.5,86,NA,NA,"","","2018-07-04","3"
"E7-25","E7",25,2018-07-04,"jamie",78,NA,NA,NA,"","","2018-07-04","3"
"E7-26","E7",26,2018-07-04,"jamie",60,NA,NA,NA,"","","2018-07-04","3"
"E7-27","E7",27,2018-07-04,"jamie",68,NA,NA,NA,"","","2018-07-04","3"
"E7-28","E7",28,2018-07-04,"jamie",75,NA,NA,NA,"","","2018-07-04","3"
"E7-29","E7",29,2018-07-04,"jamie",61,63.5,NA,NA,"","","2018-07-04","3"
"E7-30","E7",30,2018-07-04,"jamie",69,73.5,NA,NA,"","","2018-07-04","3"
"E7-31","E7",31,2018-07-04,"jamie",58,71.5,62,NA,"","","2018-07-04","3"
"E7-32","E7",32,2018-07-04,"jamie",70.5,72.5,NA,NA,"","","2018-07-04","3"
"E7-33","E7",33,2018-07-04,"jamie",73,73.5,NA,NA,"","","2018-07-04","3"
"E7-34","E7",34,2018-07-04,"jamie",66.5,71,NA,NA,"","","2018-07-04","3"
"E7-35","E7",35,2018-07-04,"jamie",80,85.5,NA,NA,"","","2018-07-04","3"
"E7-36","E7",36,2018-07-04,"jamie",55.5,56,NA,NA,"","","2018-07-04","3"
"E7-37","E7",37,2018-07-04,"jamie",42.5,NA,NA,NA,"","","2018-07-04","3"
"E7-38","E7",38,2018-07-04,"jamie",81,82.5,NA,NA,"","","2018-07-04","3"
"E7-39","E7",39,2018-07-04,"jamie",79,80.5,NA,NA,"","","2018-07-04","3"
"E7-40","E7",40,2018-07-04,"jamie",72.5,NA,NA,NA,"Tape moved","","2018-07-04","3"
"E7-41","E7",41,2018-07-04,"jamie",31,NA,NA,NA,"","","2018-07-04","3"
"E7-42","E7",42,2018-07-04,"jamie",49,49.5,NA,NA,"","","2018-07-04","3"
"E7-43","E7",43,2018-07-04,"jamie",80,107,100.5,NA,"","","2018-07-04","3"
"E7-44","E7",44,2018-07-04,"jamie",102,103.5,NA,NA,"","","2018-07-04","3"
"E7-45","E7",45,2018-07-04,"jamie",87.5,NA,NA,NA,"","","2018-07-04","3"
"E7-46","E7",46,2018-07-04,"jamie",39,NA,NA,NA,"","","2018-07-04","3"
"E7-47","E7",47,2018-07-04,"jamie",46,55,NA,NA,"","","2018-07-04","3"
"E7-48","E7",48,2018-07-04,"jamie",85.5,90.5,NA,NA,"","","2018-07-04","3"
"E7-49","E7",49,2018-07-04,"jamie",54,54.5,NA,NA,"","","2018-07-04","3"
"E7-50","E7",50,2018-07-04,"jamie",72.5,73.5,NA,NA,"","","2018-07-04","3"
"E7-51","E7",51,2018-07-04,"jamie",64,65,NA,NA,"","","2018-07-04","3"
"E7-52","E7",52,2018-07-04,"jamie",80.5,82.5,NA,NA,"","","2018-07-04","3"
"E7-53","E7",53,2018-07-04,"jamie",81.5,86,NA,NA,"","","2018-07-04","3"
"E7-54","E7",54,2018-07-04,"jamie",73.5,74,NA,NA,"","","2018-07-04","3"
"E7-55","E7",55,2018-07-04,"jamie",67.5,68.5,NA,NA,"","","2018-07-04","3"
"E7-56","E7",56,2018-07-04,"jamie",48,53,NA,NA,"","","2018-07-04","3"
"E7-57","E7",57,2018-07-04,"jamie",85,89.5,NA,NA,"","","2018-07-04","3"
"E7-58","E7",58,2018-07-04,"jamie",30,NA,NA,NA,"","","2018-07-04","3"
"E7-59","E7",59,2018-07-04,"jamie",79,80,NA,NA,"","","2018-07-04","3"
"E7-60","E7",60,2018-07-04,"jamie",98.5,101,NA,NA,"","","2018-07-04","3"
"E7-61","E7",61,2018-07-04,"jamie",79,84,NA,NA,"","","2018-07-04","3"
"E7-62","E7",62,2018-07-04,"jamie",92,94,NA,NA,"","","2018-07-04","3"
"E7-63","E7",63,2018-07-04,"jamie",76,NA,NA,NA,"","","2018-07-04","3"
"E7-64","E7",64,2018-07-04,"jamie",58,NA,NA,NA,"","","2018-07-04","3"
"E7-65","E7",65,2018-07-04,"jamie",47,48,NA,NA,"","","2018-07-04","3"
"E7-66","E7",66,2018-07-04,"jamie",69,71,NA,NA,"","","2018-07-04","3"
"E7-67","E7",67,2018-07-04,"jamie",32,NA,NA,NA,"","","2018-07-04","3"
"E7-68","E7",68,2018-07-04,"jamie",37,37.5,NA,NA,"","","2018-07-04","3"
"E7-69","E7",69,2018-07-04,"jamie",65.5,NA,NA,NA,"","","2018-07-04","3"
"E7-70","E7",70,2018-07-04,"jamie",96.5,97.5,NA,NA,"","","2018-07-04","3"
"E7-71","E7",71,2018-07-04,"jamie",58,NA,NA,NA,"","","2018-07-04","3"
"E7-72","E7",72,2018-07-04,"jamie",92.5,NA,NA,NA,"","","2018-07-04","3"
"E7-73","E7",73,2018-07-04,"jamie",96.5,104.5,NA,NA,"","","2018-07-04","3"
"E7-74","E7",74,2018-07-04,"jamie",86,NA,NA,NA,"Tape moved","","2018-07-04","3"
"E7-75","E7",75,2018-07-04,"jamie",90,97.5,NA,NA,"","","2018-07-04","3"
"E7-76","E7",76,2018-07-04,"jamie",91.5,93,NA,NA,"","","2018-07-04","3"
"E7-77","E7",77,2018-07-04,"jamie",70,83.5,78,NA,"","","2018-07-04","3"
"E7-78","E7",78,2018-07-04,"jamie",92,95.5,NA,NA,"","","2018-07-04","3"
"E7-79","E7",79,2018-07-04,"jamie",82,NA,NA,NA,"","","2018-07-04","3"
"E7-80","E7",80,2018-07-04,"jamie",75,NA,NA,NA,"","","2018-07-04","3"
"E7-81","E7",81,2018-07-04,"jamie",85.5,91,NA,NA,"","","2018-07-04","3"
"E7-82","E7",82,2018-07-04,"jamie",71.5,NA,NA,NA,"","","2018-07-04","3"
"E7-83","E7",83,2018-07-04,"jamie",107.5,109,NA,NA,"","","2018-07-04","3"
"E7-84","E7",84,2018-07-04,"jamie",65,NA,NA,NA,"","","2018-07-04","3"
"E7-85","E7",85,2018-07-04,"jamie",94.5,98,NA,NA,"","","2018-07-04","3"
"E7-86","E7",86,2018-07-04,"jamie",52,53,NA,NA,"","","2018-07-04","3"
"E7-87","E7",87,2018-07-04,"jamie",61,62,NA,NA,"","","2018-07-04","3"
"E7-88","E7",88,2018-07-04,"jamie",84,NA,NA,NA,"","","2018-07-04","3"
"E7-89","E7",89,2018-07-04,"jamie",85,109.5,101.5,NA,"","","2018-07-04","3"
"E7-90","E7",90,2018-07-04,"jamie",83,94,85.5,NA,"","","2018-07-04","3"
"E7-91","E7",91,2018-07-04,"jamie",96,97,NA,NA,"","","2018-07-04","3"
"E7-92","E7",92,2018-07-04,"jamie",69,113,108,NA,"","","2018-07-04","3"
"E7-93","E7",93,2018-07-04,"jamie",100,112,103,NA,"","","2018-07-04","3"
"E7-94","E7",94,2018-07-04,"jamie",85,NA,NA,NA,"","","2018-07-04","3"
"E7-95","E7",95,2018-07-04,"jamie",90,91,NA,NA,"","","2018-07-04","3"
"E7-96","E7",96,2018-07-04,"jamie",78,100,93,NA,"","","2018-07-04","3"
"E7-97","E7",97,2018-07-04,"jamie",100.5,NA,NA,NA,"","","2018-07-04","3"
"E7-98","E7",98,2018-07-04,"jamie",86,91.5,NA,NA,"","","2018-07-04","3"
"E7-99","E7",99,2018-07-04,"jamie",101.5,105.5,NA,NA,"","","2018-07-04","3"
"E7-100","E7",100,2018-07-04,"jamie",104.5,112,NA,NA,"","","2018-07-04","3"
"E7-101","E7",101,2018-07-04,"jamie",85,89,NA,NA,"","","2018-07-04","3"
"E7-102","E7",102,2018-07-04,"jamie",49,NA,NA,NA,"","","2018-07-04","3"
"E7-103","E7",103,2018-07-04,"jamie",66,70,NA,NA,"","","2018-07-04","3"
"E7-104","E7",104,2018-07-04,"jamie",74,75.5,NA,NA,"","","2018-07-04","3"
"E7-105","E7",105,2018-07-04,"jamie",95,NA,NA,NA,"","","2018-07-04","3"
"E7-106","E7",106,2018-07-04,"jamie",76,NA,NA,NA,"","","2018-07-04","3"
"E7-107","E7",107,2018-07-04,"jamie",49.5,NA,NA,NA,"","","2018-07-04","3"
"E7-108","E7",108,2018-07-04,"jamie",48,NA,NA,NA,"","","2018-07-04","3"
"E7-109","E7",109,2018-07-04,"jamie",105,NA,NA,NA,"","","2018-07-04","3"
"E7-110","E7",110,2018-07-04,"jamie",72,74.5,NA,NA,"","","2018-07-04","3"
"E7-111","E7",111,2018-07-04,"jamie",68.5,NA,NA,NA,"","","2018-07-04","3"
"E7-112","E7",112,2018-07-04,"jamie",75,98.5,91.5,NA,"","","2018-07-04","3"
"E7-113","E7",113,2018-07-04,"jamie",81,87.5,81.5,NA,"","","2018-07-04","3"
"E7-114","E7",114,2018-07-04,"jamie",NA,NA,NA,NA,"","","2018-07-04","3"
"E7-115","E7",115,2018-07-04,"jamie",88.5,98,92.5,NA,"","","2018-07-04","3"
"E7-116","E7",116,2018-07-04,"jamie",72,73,NA,NA,"","","2018-07-04","3"
"E7-117","E7",117,2018-07-04,"jamie",75,83.5,NA,NA,"","","2018-07-04","3"
"E7-118","E7",118,2018-07-04,"jamie",37,NA,NA,NA,"","","2018-07-04","3"
"E7-119","E7",119,2018-07-04,"jamie",85,88,NA,NA,"","","2018-07-04","3"
"E7-120","E7",120,2018-07-04,"jamie",NA,NA,NA,NA,"","","2018-07-04","3"
"E7-121","E7",121,2018-07-04,"jamie",84,NA,NA,NA,"","","2018-07-04","3"
"E7-122","E7",122,2018-07-04,"jamie",53,NA,NA,NA,"","","2018-07-04","3"
"E7-123","E7",123,2018-07-04,"jamie",44,64.5,58,NA,"","","2018-07-04","3"
"E7-124","E7",124,2018-07-04,"jamie",34,NA,NA,NA,"","","2018-07-04","3"
"E7-125","E7",125,2018-07-04,"jamie",66,69,NA,NA,"","","2018-07-04","3"
"E7-126","E7",126,2018-07-04,"jamie",57.5,NA,NA,NA,"","","2018-07-04","3"
"E7-127","E7",127,2018-07-04,"jamie",53.5,NA,NA,NA,"","","2018-07-04","3"
"E7-128","E7",128,2018-07-04,"jamie",37,NA,NA,NA,"","","2018-07-04","3"
"E7-129","E7",129,2018-07-04,"jamie",57.5,67.5,NA,NA,"","","2018-07-04","3"
