"ind","FFDAYS","FLOWER"
"E10-139",205,TRUE
"E10-14",205,TRUE
"E10-140",211,TRUE
"E10-141",205,TRUE
"E10-142",197,TRUE
"E10-143",205,TRUE
"E10-144",220,TRUE
"E10-145",197,TRUE
"E10-146",185,TRUE
"E10-147",211,TRUE
"E10-148",190,TRUE
"E10-149",234,TRUE
"E10-15",211,TRUE
"E10-150",190,TRUE
"E10-151",190,TRUE
"E10-152",211,TRUE
"E10-153",211,TRUE
"E10-154",205,TRUE
"E10-155",197,TRUE
"E10-156",197,TRUE
"E10-157",205,TRUE
"E10-158",185,TRUE
"E10-159",184,TRUE
"E10-16",205,TRUE
"E10-160",190,TRUE
"E10-161",205,TRUE
"E10-162",190,TRUE
"E10-163",197,TRUE
"E10-164",197,TRUE
"E10-165",197,TRUE
"E10-166",205,TRUE
"E10-167",184,TRUE
"E10-168",190,TRUE
"E10-169",205,TRUE
"E10-17",205,TRUE
"E10-170",184,TRUE
"E10-171",184,TRUE
"E10-172",NA,FALSE
"E10-173",190,TRUE
"E10-174",197,TRUE
"E10-175",205,TRUE
"E10-176",197,TRUE
"E10-177",190,TRUE
"E10-178",NA,FALSE
"E10-179",211,TRUE
"E10-18",190,TRUE
"E10-180",205,TRUE
"E10-181",205,TRUE
"E10-182",190,TRUE
"E10-183",190,TRUE
"E10-184",184,TRUE
"E10-185",190,TRUE
"E10-186",197,TRUE
"E10-187",197,TRUE
"E10-188",197,TRUE
"E10-189",197,TRUE
"E10-19",225,TRUE
"E10-190",197,TRUE
"E10-191",197,TRUE
"E10-192",205,TRUE
"E10-193",205,TRUE
"E10-194",205,TRUE
"E10-195",211,TRUE
"E10-196",190,TRUE
"E10-197",220,TRUE
"E10-198",190,TRUE
"E10-199",205,TRUE
"E10-20",225,TRUE
"E10-200",197,TRUE
"E10-201",211,TRUE
"E10-21",184,TRUE
"E10-22",NA,FALSE
"E10-23",205,TRUE
"E10-24",197,TRUE
"E10-25",NA,FALSE
"E10-26",197,TRUE
"E10-27",205,TRUE
"E10-28",197,TRUE
"E10-29",197,TRUE
"E10-3",205,TRUE
"E10-30",220,TRUE
"E10-31",205,TRUE
"E10-32",197,TRUE
"E10-33",205,TRUE
"E10-34",272,TRUE
"E10-35",205,TRUE
"E10-36",190,TRUE
"E10-37",197,TRUE
"E10-38",190,TRUE
"E10-39",205,TRUE
"E10-4",190,TRUE
"E10-40",225,TRUE
"E10-41",197,TRUE
"E10-42",197,TRUE
"E10-43",197,TRUE
"E10-44",197,TRUE
"E10-45",234,TRUE
"E10-46",184,TRUE
"E10-47",197,TRUE
"E10-48",205,TRUE
"E10-49",205,TRUE
"E10-5",205,TRUE
"E10-50",190,TRUE
"E10-51",205,TRUE
"E10-52",197,TRUE
"E10-53",190,TRUE
"E10-54",190,TRUE
"E10-55",184,TRUE
"E10-56",190,TRUE
"E10-57",211,TRUE
"E10-58",211,TRUE
"E10-59",220,TRUE
"E10-6",190,TRUE
"E10-60",205,TRUE
"E10-61",190,TRUE
"E10-62",205,TRUE
"E10-63",190,TRUE
"E10-64",211,TRUE
"E10-65",197,TRUE
"E10-66",190,TRUE
"E10-67",197,TRUE
"E10-68",205,TRUE
"E10-69",205,TRUE
"E10-7",190,TRUE
"E10-70",197,TRUE
"E10-71",197,TRUE
"E10-72",190,TRUE
"E10-73",197,TRUE
"E10-74",205,TRUE
"E10-75",197,TRUE
"E10-76",205,TRUE
"E10-77",205,TRUE
"E10-78",197,TRUE
"E10-79",197,TRUE
"E10-8",220,TRUE
"E10-80",234,TRUE
"E10-81",190,TRUE
"E10-82",211,TRUE
"E10-83",190,TRUE
"E10-84",197,TRUE
"E10-85",211,TRUE
"E10-86",190,TRUE
"E10-87",211,TRUE
"E10-88",220,TRUE
"E10-89",190,TRUE
"E10-9",220,TRUE
"E10-90",197,TRUE
"E10-91",205,TRUE
"E10-92",211,TRUE
"E10-93",190,TRUE
"E10-94",205,TRUE
"E10-95",211,TRUE
"E10-96",185,TRUE
"E10-97",197,TRUE
"E10-98",197,TRUE
"E10-99",234,TRUE
"E11-1",197,TRUE
"E11-10",212,TRUE
"E11-100",206,TRUE
"E11-101",189,TRUE
"E11-102",189,TRUE
"E11-103",220,TRUE
"E11-104",197,TRUE
"E11-105",220,TRUE
"E11-106",206,TRUE
"E11-107",197,TRUE
"E11-108",189,TRUE
"E11-109",212,TRUE
"E11-11",206,TRUE
"E11-110",NA,FALSE
"E11-111",220,TRUE
"E11-112",272,TRUE
"E11-113",197,TRUE
"E11-114",206,TRUE
"E11-115",212,TRUE
"E11-116",206,TRUE
"E11-117",212,TRUE
"E11-118",206,TRUE
"E11-119",224,TRUE
"E11-12",186,TRUE
"E11-120",220,TRUE
"E11-121",NA,FALSE
"E11-122",220,TRUE
"E11-123",212,TRUE
"E11-124",206,TRUE
"E11-125",272,TRUE
"E11-126",212,TRUE
"E11-127",224,TRUE
"E11-128",206,TRUE
"E11-129",224,TRUE
"E11-13",NA,FALSE
"E11-130",183,TRUE
"E11-131",189,TRUE
"E11-132",220,TRUE
"E11-133",NA,FALSE
"E11-134",NA,FALSE
"E11-135",186,TRUE
"E11-136",206,TRUE
"E11-137",197,TRUE
"E11-138",272,TRUE
"E11-139",212,TRUE
"E11-14",NA,FALSE
"E11-140",186,TRUE
"E11-141",220,TRUE
"E11-142",224,TRUE
"E11-143",206,TRUE
"E11-144",206,TRUE
"E11-145",NA,FALSE
"E11-146",NA,FALSE
"E11-147",NA,FALSE
"E11-148",212,TRUE
"E11-149",220,TRUE
"E11-15",224,TRUE
"E11-150",212,TRUE
"E11-151",224,TRUE
"E11-152",220,TRUE
"E11-153",220,TRUE
"E11-154",NA,FALSE
"E11-155",NA,FALSE
