"Block","Pos","Ind","Weight"
"E3",145,"E3-145",14.8986486486487
"E3",146,"E3-146",5.89864864864865
"E3",147,"E3-147",5.58864864864865
"E3",148,"E3-148",4.55864864864865
"E3",149,"E3-149",3.86864864864865
"E3",150,"E3-150",16.8486486486487
"E3",151,"E3-151",18.0686486486487
"E3",152,"E3-152",2.11864864864865
"E3",153,"E3-153",10.7586486486487
"E3",154,"E3-154",1.62864864864865
"E3",155,"E3-155",0.608648648648654
"E3",156,"E3-156",19.1686486486487
"E3",157,"E3-157",5.68864864864865
"E3",158,"E3-158",20.3886486486487
"E3",159,"E3-159",7.94864864864865
"E3",160,"E3-160",6.25864864864865
"E3",161,"E3-161",3.43864864864865
"E3",162,"E3-162",1.85864864864865
"E3",163,"E3-163",6.18864864864865
"E3",164,"E3-164",2.24864864864865
"E3",165,"E3-165",11.0886486486487
"E3",166,"E3-166",10.1586486486487
"E3",167,"E3-167",0.318648648648654
"E3",168,"E3-168",8.14864864864865
"E3",169,"E3-169",4.66864864864866
"E3",170,"E3-170",0.708648648648655
"E3",171,"E3-171",8.16864864864866
"E3",172,"E3-172",16.3086486486486
"E3",173,"E3-173",9.70864864864865
"E3",174,"E3-174",0.148648648648653
"E3",175,"E3-175",8.10864864864865
"E3",176,"E3-176",9.57864864864865
"E3",177,"E3-177",2.18864864864865
"E3",178,"E3-178",15.2886486486487
"E3",179,"E3-179",3.16864864864866
"E3",180,"E3-180",7.75864864864865
"E3",181,"E3-181",7.15864864864865
"E3",182,"E3-182",0.868648648648652
"E3",183,"E3-183",12.3486486486487
"E3",184,"E3-184",9.98864864864865
"E3",185,"E3-185",4.27864864864866
"E3",186,"E3-186",3.23864864864865
"E3",187,"E3-187",3.31864864864865
"E3",188,"E3-188",0.708648648648655
"E3",189,"E3-189",2.14864864864865
"E3",190,"E3-190",3.25864864864865
"E3",191,"E3-191",0.308648648648649
"E3",192,"E3-192",4.01864864864865
"E3",193,"E3-193",9.82864864864865
"E3",194,"E3-194",17.0086486486487
"E3",195,"E3-195",8.39864864864865
"E3",196,"E3-196",7.54864864864865
"E3",197,"E3-197",0.488648648648649
"E3",198,"E3-198",5.37864864864865
"E3",199,"E3-199",8.55864864864865
"E3",200,"E3-200",9.65864864864865
"E4",1,"E4-1",0
"E4",2,"E4-2",0
"E4",3,"E4-3",0
"E4",4,"E4-4",0
