"Block","Pos","Ind","rawWeight","Weight"
"E3",119,"E3-119",34.03,3.83588235294118
"E3",120,"E3-120",34.45,4.25588235294118
"E3",121,"E3-121",50.02,19.8258823529412
"E3",122,"E3-122",31.3,1.10588235294118
"E3",123,"E3-123",31.55,1.35588235294118
"E3",124,"E3-124",35.93,5.73588235294118
"E3",125,"E3-125",36.51,6.31588235294118
"E3",126,"E3-126",65.35,35.1558823529412
"E3",127,"E3-127",38.75,8.55588235294118
"E3",128,"E3-128",34.76,4.56588235294118
"E3",129,"E3-129",42.53,12.3358823529412
"E3",130,"E3-130",33.63,3.43588235294118
"E3",131,"E3-131",44.36,14.1658823529412
"E3",132,"E3-132",30,0
"E3",133,"E3-133",46.41,16.2158823529412
"E3",134,"E3-134",31.74,1.54588235294118
"E3",135,"E3-135",44.79,14.5958823529412
"E3",136,"E3-136",50.58,20.3858823529412
"E3",137,"E3-137",39.44,9.24588235294118
"E3",138,"E3-138",39.22,9.02588235294118
"E3",139,"E3-139",28.88,0
"E3",140,"E3-140",38.45,8.25588235294118
"E3",141,"E3-141",66.46,36.2658823529412
"E3",142,"E3-142",29.72,0
"E3",143,"E3-143",49.59,19.3958823529412
"E3",144,"E3-144",35.71,5.51588235294118
"E3",145,"E3-145",49.57,19.3758823529412
"E3",146,"E3-146",36.79,6.59588235294118
"E3",147,"E3-147",35,4.80588235294118
"E3",148,"E3-148",32.22,2.02588235294118
"E3",149,"E3-149",36.89,6.69588235294118
"E3",150,"E3-150",52.4,22.2058823529412
"E3",151,"E3-151",50.58,20.3858823529412
"E3",152,"E3-152",30.45,0.255882352941178
"E3",153,"E3-153",35.77,5.57588235294118
"E3",154,"E3-154",33.5,3.30588235294118
"E3",155,"E3-155",29.81,0
"E3",156,"E3-156",43.95,13.7558823529412
"E3",157,"E3-157",30.46,0.26588235294118
"E3",158,"E3-158",47.72,17.5258823529412
"E3",159,"E3-159",32.18,1.98588235294118
"E3",160,"E3-160",36.56,6.36588235294118
"E3",161,"E3-161",42.38,12.1858823529412
"E3",162,"E3-162",30.39,0.19588235294118
"E3",163,"E3-163",41.41,11.2158823529412
"E3",164,"E3-164",44.77,14.5758823529412
"E3",165,"E3-165",58.54,28.3458823529412
"E3",166,"E3-166",36.54,6.34588235294118
"E3",167,"E3-167",30.48,0.285882352941179
"E3",168,"E3-168",35.21,5.01588235294118
"E3",169,"E3-169",42.31,12.1158823529412
"E3",170,"E3-170",42.54,12.3458823529412
"E3",171,"E3-171",36.7,6.50588235294118
"E3",172,"E3-172",35.78,5.58588235294118
"E3",173,"E3-173",29.73,0
"E3",174,"E3-174",29.55,0
"E3",175,"E3-175",32.55,2.35588235294118
"E3",176,"E3-176",40.42,10.2258823529412
"E3",177,"E3-177",32.78,2.58588235294118
"E3",178,"E3-178",33.05,2.85588235294118
"E3",179,"E3-179",32.17,1.97588235294118
"E3",180,"E3-180",57.22,27.0258823529412
"E3",181,"E3-181",31.69,1.49588235294118
"E3",182,"E3-182",29.85,0
"E3",183,"E3-183",41.59,11.3958823529412
"E3",184,"E3-184",60.95,30.7558823529412
"E3",185,"E3-185",41.38,11.1858823529412
"E3",186,"E3-186",31.47,1.27588235294118
"E3",187,"E3-187",30.74,0.545882352941177
"E3",188,"E3-188",33.39,3.19588235294118
"E3",189,"E3-189",31.65,1.45588235294118
"E3",190,"E3-190",36.23,6.03588235294118
"E3",191,"E3-191",31.17,0.975882352941181
"E3",192,"E3-192",36.24,6.04588235294118
"E3",193,"E3-193",33.75,3.55588235294118
"E3",194,"E3-194",66.8,36.6058823529412
"E3",195,"E3-195",40.92,10.7258823529412
"E3",196,"E3-196",41.89,11.6958823529412
"E3",197,"E3-197",31.05,0.85588235294118
"E3",198,"E3-198",35.5,5.30588235294118
"E3",199,"E3-199",40.42,10.2258823529412
"E3",200,"E3-200",36.41,6.21588235294118
"E4",1,"E4-1",NA,0
"E4",2,"E4-2",NA,0
"E4",3,"E4-3",NA,0
"E4",4,"E4-4",32.78,2.58588235294118
"E4",5,"E4-5",30.78,0.58588235294118
"E4",6,"E4-6",30.37,0.17588235294118
"E4",7,"E4-7",NA,0
"E4",8,"E4-8",NA,0
"E4",9,"E4-9",NA,0
"E4",10,"E4-10",NA,0
"E4",11,"E4-11",31.2,1.00588235294118
"E4",12,"E4-12",NA,0
"E4",13,"E4-13",30.6,0.40588235294118
"E4",14,"E4-14",NA,0
"E4",15,"E4-15",NA,0
"E4",16,"E4-16",NA,0
"E4",17,"E4-17",NA,0
"E4",18,"E4-18",NA,0
"E4",19,"E4-19",NA,0
"E4",20,"E4-20",30.65,0.455882352941178
"E4",21,"E4-21",NA,0
"E4",22,"E4-22",NA,0
"E4",23,"E4-23",NA,0
"E4",24,"E4-24",NA,0
"E4",25,"E4-25",NA,0
"E4",26,"E4-26",NA,0
"E4",27,"E4-27",NA,0
"E4",28,"E4-28",NA,0
"E4",29,"E4-29",NA,0
"E4",30,"E4-30",30.29,0.0958823529411781
"E4",31,"E4-31",NA,0
"E4",32,"E4-32",NA,0
"E4",33,"E4-33",NA,0
"E4",34,"E4-34",30.74,0.545882352941177
"E4",35,"E4-35",30.76,0.56588235294118
"E4",36,"E4-36",30.56,0.365882352941178
"E4",37,"E4-37",NA,0
"E4",38,"E4-38",29.64,0
"E4",39,"E4-39",NA,0
"E4",40,"E4-40",NA,0
"E4",41,"E4-41",NA,0
"E4",42,"E4-42",NA,0
"E4",43,"E4-43",NA,0
"E4",44,"E4-44",NA,0
"E4",45,"E4-45",NA,0
"E4",46,"E4-46",NA,0
"E4",47,"E4-47",NA,0
"E4",48,"E4-48",NA,0
"E4",49,"E4-49",NA,0
"E4",50,"E4-50",NA,0
"E4",51,"E4-51",NA,0
"E4",52,"E4-52",NA,0
"E4",53,"E4-53",NA,0
"E4",54,"E4-54",NA,0
"E4",55,"E4-55",NA,0
"E4",56,"E4-56",NA,0
"E4",57,"E4-57",NA,0
"E4",58,"E4-58",NA,0
"E4",59,"E4-59",NA,0
"E4",60,"E4-60",NA,0
"E4",61,"E4-61",NA,0
"E4",62,"E4-62",NA,0
"E4",63,"E4-63",NA,0
"E4",64,"E4-64",NA,0
"E4",65,"E4-65",NA,0
"E4",66,"E4-66",NA,0
"E4",67,"E4-67",NA,0
"E4",68,"E4-68",NA,0
"E4",69,"E4-69",NA,0
"E4",70,"E4-70",NA,0
"E4",71,"E4-71",NA,0
"E4",72,"E4-72",NA,0
"E4",73,"E4-73",NA,0
"E4",74,"E4-74",NA,0
"E4",75,"E4-75",NA,0
"E4",76,"E4-76",NA,0
"E4",77,"E4-77",NA,0
"E4",78,"E4-78",NA,0
"E4",79,"E4-79",30.43,0.235882352941179
"E4",80,"E4-80",NA,0
"E4",81,"E4-81",NA,0
"E4",82,"E4-82",NA,0
