Block,Pos,Date,Measurer,Veg,Bud,Flr,Fert,Abt,M,S,N
E1,138,31-May,Damian,31.5,,,,,,,
E1,139,31-May,Damian,13.5,,,,,,,
E1,140,31-May,Damian,27,,,,,,,
E1,141,31-May,Damian,26.5,,,,,,,
E1,142,31-May,Damian,29,,,,,,,
E1,143,31-May,Damian,28,,,,,,,
E1,144,31-May,Damian,24,,,,,,,
E1,145,31-May,Damian,42,,,,,,,
E1,146,31-May,Damian,33,,,,,,,
E1,147,31-May,Damian,20,,,,,,,
E1,148,31-May,Damian,36.5,,,,,,,
E1,149,31-May,Damian,36,,,,,,,
E1,150,31-May,Damian,28,,,,,,,
E1,151,31-May,Damian,18,,,,,,,
E1,152,31-May,Damian,16,,,,,,,
E1,153,31-May,Damian,28,,,,,,,
E1,154,31-May,Damian,25,,,,,,,
E1,155,31-May,Damian,27,,,,,,,
E1,156,31-May,Damian,10,,,,,,,
E1,157,31-May,Damian,16.5,,,,,,,
E1,158,31-May,Damian,7,,,,,,,
E1,159,31-May,Damian,28,,,,,,,
E1,160,31-May,Damian,21.5,,,,,,,
E1,161,31-May,Damian,35.5,,,,,,,
E1,162,31-May,Damian,27,,,,,,,
E1,163,31-May,Damian,8,,,,,,,
E1,164,31-May,Damian,30,,,,,,,
E1,165,31-May,Damian,14,,,,,,,
E1,166,31-May,Damian,25.5,,,,,,,
E1,167,31-May,Damian,31,,,,,,,
E1,168,31-May,Damian,15.5,,,,,,,
E1,169,31-May,Damian,20,,,,,,,
E1,170,31-May,Damian,24.5,,,,,,,
E1,171,31-May,Damian,18,,,,,,,
E1,172,31-May,Damian,27,,,,,,,
E1,173,31-May,Damian,18,,,,,,,
E1,174,31-May,Damian,26,,,,,,,
E1,175,31-May,Damian,17,,,,,,,
E1,176,31-May,Damian,28,,,,,,,
E1,177,31-May,Damian,26,,,,,,,
E1,178,31-May,Damian,21,,,,,,,
E1,179,31-May,Damian,17.5,,,,,,,
E1,180,31-May,Damian,24,,,,,,,
E1,181,31-May,Damian,25,,,,,,,
E1,182,31-May,Damian,17.5,,,,,,,
E1,183,31-May,Damian,19,,,,,,,
E1,184,31-May,Damian,26,,,,,,,
E1,185,31-May,Damian,17.5,,,,,,,
E1,186,31-May,Damian,21,,,,,,,
E1,187,31-May,Damian,18,,,,,,,
E1,188,31-May,Damian,29.5,,,,,,,
E1,189,31-May,Damian,31,,,,,,,
E1,190,31-May,Damian,16,,,,,,,
E1,191,31-May,Damian,22.5,,,,,,,
E1,192,31-May,Damian,17,,,,,,,
E1,193,31-May,Damian,16,,,,,,,
E1,194,31-May,Damian,15.5,,,,,,,
E1,195,31-May,Damian,25,,,,,,,
E1,196,31-May,Damian,19.5,,,,,,,
E1,197,31-May,Damian,22,,,,,,,
E1,198,31-May,Damian,27,,,,,,,
E1,199,31-May,Damian,20,,,,,,,
E1,200,31-May,Damian,22,,,,,,,
E2,1,31-May,Rob,24,,,,,,,
E2,2,31-May,Rob,22.5,,,,,,,
E2,3,31-May,Rob,27,,,,,,,
E2,4,31-May,Rob,20.5,,,,,,,
E2,5,31-May,Rob,NA,,,,,,,
E2,6,31-May,Rob,26.5,,,,,,,
E2,7,31-May,Rob,22,,,,,,,
E2,8,31-May,Rob,21,,,,,,,
E2,9,31-May,Rob,18.5,,,,,,,
E2,10,31-May,Rob,28.5,,,,,,,
E2,11,31-May,Rob,20,,,,,,,
E2,12,31-May,Rob,19,,,,,,,
E2,13,31-May,Rob,16,,,,,,,
E2,14,31-May,Rob,NA,,,,,,,
E2,15,31-May,Rob,NA,,,,,,,
E2,16,31-May,Rob,24,,,,,,,
E2,17,31-May,Rob,20.5,,,,,,,
E2,18,31-May,Rob,14,,,,,,,
E2,19,31-May,Rob,25.5,,,,,,,
E2,20,31-May,Rob,27.5,,,,,,,
E2,21,31-May,Rob,28,,,,,,,
E2,22,31-May,Rob,18.5,,,,,,,
E2,23,31-May,Rob,24.5,,,,,,,
