Plot,Individual,Date,Measurer,Num_primary_stems,Num_stems_dmg,Apical_stem_dmg
E1,144,2018-08-08,jamie,4,0,n
E1,145,2018-08-08,jamie,4,1,n
E1,146,2018-08-08,jamie,4,0,n
E1,147,2018-08-08,jamie,3,0,n
E1,148,2018-08-08,jamie,7,1,n
E1,149,2018-08-08,jamie,5,0,n
E1,150,2018-08-08,jamie,4,1,n
E1,151,2018-08-08,jamie,5,1,n
E1,152,2018-08-08,jamie,6,1,n
E1,153,2018-08-08,jamie,10,1,n
E1,154,2018-08-08,jamie,6,0,n
E1,155,2018-08-08,jamie,6,1,y
E1,156,2018-08-08,jamie,1,0,n
E1,157,2018-08-08,jamie,5,1,n
E1,158,2018-08-08,jamie,6,2,y
E1,159,2018-08-08,jamie,5,0,n
E1,160,2018-08-08,jamie,5,1,n
E1,161,2018-08-08,jamie,5,2,n
E1,162,2018-08-08,jamie,3,1,y
E1,163,2018-08-08,jamie,4,0,n
E1,164,2018-08-08,jamie,3,0,n
E1,165,2018-08-08,jamie,5,0,n
E1,166,2018-08-08,jamie,8,0,n
E1,167,2018-08-08,jamie,2,1,y
E1,168,2018-08-08,jamie,7,1,n
E1,169,2018-08-08,jamie,7,0,n
E1,170,2018-08-08,jamie,4,0,n
E1,171,2018-08-08,jamie,2,1,n
E1,172,2018-08-08,jamie,6,2,n
E1,173,2018-08-08,jamie,8,1,n
E1,174,2018-08-08,jamie,3,0,n
E1,175,2018-08-08,jamie,4,0,n
E1,176,2018-08-08,jamie,8,0,n
E1,177,2018-08-08,jamie,8,1,n
E1,178,2018-08-08,jamie,7,0,n
E1,179,2018-08-08,jamie,7,0,n
E1,180,2018-08-08,jamie,9,1,n
E1,181,2018-08-08,jamie,3,0,n
E1,182,2018-08-08,jamie,6,0,n
E1,183,2018-08-08,jamie,6,0,n
E1,184,2018-08-08,jamie,4,0,n
E1,185,2018-08-08,jamie,7,0,n
E1,186,2018-08-08,jamie,5,1,n
E1,187,2018-08-08,jamie,8,0,n
E1,188,2018-08-08,jamie,7,1,n
E1,189,2018-08-08,jamie,2,1,y
E1,190,2018-08-08,jamie,5,2,y
E1,191,2018-08-08,jamie,3,0,n
E1,192,2018-08-08,jamie,3,1,n
E1,193,2018-08-08,jamie,5,0,n
E1,194,2018-08-08,jamie,9,1,n
E1,195,2018-08-08,jamie,2,0,n
E1,196,2018-08-08,jamie,8,1,n
E1,197,2018-08-08,jamie,2,0,n
E1,198,2018-08-08,jamie,6,1,n
E1,199,2018-08-08,jamie,7,0,n
E1,200,2018-08-08,jamie,4,1,n
E2,1,2018-08-08,jamie,9,3,y
E2,2,2018-08-08,jamie,6,1,n
E2,3,2018-08-08,jamie,7,2,n
E2,4,2018-08-08,jamie,5,3,y
E2,5,2018-08-08,jamie,5,1,n
E2,6,2018-08-08,jamie,7,1,n
E2,7,2018-08-08,jamie,3,0,n
E2,8,2018-08-08,jamie,9,1,n
E2,9,2018-08-08,jamie,6,0,n
E2,10,2018-08-08,jamie,8,1,n
E2,11,2018-08-08,jamie,10,1,n
E2,12,2018-08-08,jamie,7,1,y
E2,13,2018-08-08,jamie,3,0,n
E2,14,2018-08-08,jamie,3,1,y
E2,15,2018-08-08,jamie,2,0,n
E2,16,2018-08-08,jamie,6,1,n
E2,17,2018-08-08,jamie,5,0,n
E2,18,2018-08-08,jamie,2,0,n
E2,19,2018-08-08,jamie,6,1,n
E2,20,2018-08-08,jamie,3,0,n
E2,21,2018-08-08,jamie,4,0,n
E2,22,2018-08-08,jamie,10,2,n
E2,23,2018-08-08,jamie,10,0,n
E2,24,2018-08-08,jamie,6,0,n
E2,25,2018-08-08,jamie,3,0,n
E2,26,2018-08-08,jamie,5,2,n
E2,27,2018-08-08,jamie,10,3,y
E2,28,2018-08-08,jamie,13,0,n
E2,29,2018-08-08,jamie,11,4,n
E2,30,2018-08-08,jamie,3,0,n
E2,31,2018-08-08,jamie,8,3,n
E2,32,2018-08-08,jamie,7,2,n
E2,33,2018-08-08,jamie,4,3,y
E2,34,2018-08-08,jamie,8,2,n
E2,35,2018-08-08,jamie,5,0,n
E2,36,2018-08-08,jamie,5,2,n
E2,37,2018-08-08,jamie,3,0,n
E2,38,2018-08-08,jamie,7,3,n
E2,39,2018-08-08,jamie,11,4,n
E2,40,2018-08-08,jamie,2,1,n
E2,41,2018-08-08,jamie,6,3,n
E2,42,2018-08-08,jamie,4,2,n
E2,43,2018-08-08,jamie,5,3,n
E2,44,2018-08-08,jamie,3,1,y
E2,45,2018-08-08,jamie,6,2,y
E2,46,2018-08-08,jamie,10,1,y
E2,47,2018-08-08,jamie,6,4,y
E2,48,2018-08-08,jamie,7,0,n
E2,49,2018-08-08,jamie,6,1,n
E2,50,2018-08-08,jamie,6,3,n
E2,51,2018-08-08,jamie,9,3,n
E2,52,2018-08-08,jamie,4,2,n
E2,53,2018-08-08,jamie,5,3,y
E2,54,2018-08-08,jamie,6,2,n
E2,55,2018-08-08,jamie,5,0,n
E2,56,2018-08-08,jamie,8,1,n
E2,57,2018-08-08,jamie,5,1,n
E2,58,2018-08-08,jamie,13,5,n
E2,59,2018-08-08,jamie,3,1,n
E2,60,2018-08-08,jamie,5,0,n
E2,61,2018-08-08,jamie,6,3,n
E2,62,2018-08-08,jamie,5,2,n
E2,63,2018-08-08,jamie,4,2,y
E2,64,2018-08-08,jamie,5,4,y
E2,65,2018-08-08,jamie,5,3,y
E2,66,2018-08-08,jamie,2,1,n
E2,67,2018-08-08,jamie,1,1,y
E2,68,2018-08-08,jamie,6,4,y
E2,69,2018-08-08,jamie,4,3,n
E2,70,2018-08-08,jamie,2,1,n
E2,71,2018-08-08,jamie,6,3,n
E2,72,2018-08-08,jamie,2,2,y
E2,73,2018-08-08,jamie,9,4,n
E2,74,2018-08-08,jamie,4,3,y
E2,75,2018-08-08,jamie,3,3,y
E2,76,2018-08-08,jamie,5,3,n
E2,77,2018-08-08,jamie,4,2,y
E2,78,2018-08-08,jamie,6,4,y
E2,79,2018-08-08,jamie,9,4,n
E2,80,2018-08-08,jamie,3,1,n
E2,81,2018-08-08,jamie,5,3,n
E2,82,2018-08-08,jamie,8,5,y
E2,83,2018-08-08,jamie,8,6,y
E2,84,2018-08-08,jamie,3,2,y
E2,85,2018-08-08,jamie,4,1,y
E2,86,2018-08-08,jamie,6,3,y
E2,87,2018-08-08,jamie,7,1,n
E2,88,2018-08-08,jamie,4,2,y
E2,89,2018-08-08,jamie,3,1,n
E2,90,2018-08-08,jamie,5,4,n
E2,91,2018-08-08,jamie,4,3,y
E2,92,2018-08-08,jamie,10,3,n
E2,93,2018-08-08,jamie,6,4,y
E2,94,2018-08-08,jamie,2,2,y
E2,95,2018-08-08,jamie,7,2,n
E2,96,2018-08-08,jamie,missing,,
E2,97,2018-08-08,jamie,5,5,y
E2,98,2018-08-08,jamie,10,6,n
E2,99,2018-08-08,jamie,6,3,n
E2,100,2018-08-08,jamie,10,7,y
E2,101,2018-08-08,jamie,missing,,
E2,102,2018-08-08,jamie,missing,,
E2,103,2018-08-08,jamie,6,2,n
E2,104,2018-08-08,jamie,missing,,
E2,105,2018-08-08,jamie,missing,,
E2,106,2018-08-08,jamie,missing,,
E2,107,2018-08-08,jamie,missing,,
E2,108,2018-08-08,jamie,10,3,n
E2,109,2018-08-08,jamie,3,3,y
E2,110,2018-08-08,jamie,missing,,
E2,111,2018-08-08,jamie,3,0,n
E2,112,2018-08-08,jamie,1,1,y
E2,113,2018-08-08,jamie,8,3,n
E2,114,2018-08-08,jamie,3,2,y
E2,115,2018-08-08,jamie,4,0,n
E2,116,2018-08-08,jamie,7,2,n
E2,117,2018-08-08,jamie,8,4,n
E2,118,2018-08-08,jamie,6,4,n
E2,119,2018-08-08,jamie,1,0,n
E2,120,2018-08-08,jamie,4,2,n
E2,121,2018-08-08,jamie,5,2,n
E2,122,2018-08-08,jamie,5,0,n
E2,123,2018-08-08,jamie,14,10,n
E2,124,2018-08-08,jamie,9,3,n
E2,125,2018-08-08,jamie,9,4,n
E2,126,2018-08-08,jamie,9,6,n
E2,127,2018-08-08,jamie,7,1,y
E2,128,2018-08-08,jamie,11,4,y
E2,129,2018-08-08,jamie,5,2,n
E2,130,2018-08-08,jamie,9,7,y
E2,131,2018-08-08,jamie,5,3,n
E2,132,2018-08-08,jamie,7,4,y
E2,133,2018-08-08,jamie,2,1,n
E2,134,2018-08-08,jamie,5,2,n
E2,135,2018-08-08,jamie,7,3,y
E2,136,2018-08-08,jamie,5,3,n
E2,137,2018-08-08,jamie,11,4,y
E2,138,2018-08-08,jamie,4,3,n
E2,139,2018-08-08,jamie,4,2,y
E2,140,2018-08-08,jamie,4,3,y
E2,141,2018-08-08,jamie,2,1,n
E2,142,2018-08-08,jamie,4,2,n
E2,143,2018-08-08,jamie,6,4,y
E2,144,2018-08-08,jamie,7,3,n
E2,145,2018-08-08,jamie,13,5,n
E2,146,2018-08-08,jamie,5,1,n
E2,147,2018-08-08,jamie,6,3,y
E2,148,2018-08-08,jamie,6,2,n
E2,149,2018-08-08,jamie,4,2,y
E2,150,2018-08-08,jamie,1,0,n
E2,151,2018-08-08,jamie,4,1,n
E2,152,2018-08-08,jamie,4,2,y
E2,153,2018-08-08,jamie,6,5,n
E2,154,2018-08-08,jamie,3,1,n
E2,155,2018-08-08,jamie,4,2,y
E2,156,2018-08-08,jamie,2,2,y
E2,157,2018-08-08,jamie,6,3,y
E2,158,2018-08-08,jamie,9,2,n
E2,159,2018-08-08,jamie,7,4,y
E2,160,2018-08-08,jamie,4,4,y
E2,161,2018-08-08,jamie,6,2,n
E2,162,2018-08-08,jamie,10,3,y
E2,163,2018-08-08,jamie,9,7,y
E2,164,2018-08-08,jamie,3,2,y
E2,165,2018-08-08,jamie,5,3,n
E2,166,2018-08-08,jamie,4,1,n
E2,167,2018-08-08,jamie,4,2,n
E2,168,2018-08-08,jamie,12,6,y
E2,169,2018-08-08,jamie,9,3,n
E2,170,2018-08-08,jamie,7,2,n
E2,171,2018-08-08,jamie,6,2,n
E2,172,2018-08-08,jamie,6,2,n
E2,173,2018-08-08,jamie,4,4,y
E2,174,2018-08-08,jamie,5,2,y
E2,175,2018-08-08,jamie,8,1,n
E2,176,2018-08-08,jamie,4,2,y
E2,177,2018-08-08,jamie,8,2,n
E2,178,2018-08-08,jamie,6,3,n
E2,179,2018-08-08,jamie,6,3,y
E2,180,2018-08-08,jamie,6,3,n
E2,181,2018-08-08,jamie,5,3,n
E2,182,2018-08-08,jamie,8,5,n
E2,183,2018-08-08,jamie,2,2,y
E2,184,2018-08-08,jamie,8,5,n
E2,185,2018-08-08,jamie,5,4,y
E2,186,2018-08-08,jamie,7,4,n
E2,187,2018-08-08,jamie,1,0,n
E2,188,2018-08-08,jamie,6,2,n
E2,189,2018-08-08,jamie,5,3,y
E2,190,2018-08-08,jamie,7,5,y
E2,191,2018-08-08,jamie,4,1,n
E2,192,2018-08-08,jamie,4,4,y
E2,193,2018-08-08,jamie,9,6,n
