Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
E1,127,31.41,df,2020-05-19,DF,0,,
E1,128,39.69,df,2020-05-20,DF,0,,
E1,129,31.79,df,2020-05-21,DF,0,,
E1,130,35.69,df,2020-05-22,DF,0,,
E1,131,32.47,df,2020-05-23,DF,0,,
E1,132,30.7,df,2020-05-24,DF,0,,
E1,133,30.88,df,2020-05-25,DF,0,,
E1,134,34.08,df,2020-05-26,DF,0,,
E1,135,34.02,df,2020-05-27,DF,0,,
E1,136,37.89,df,2020-05-28,DF,0,,
E1,137,29.87,df,2020-05-29,DF,0,,
E1,138,38.88,df,2020-05-30,DF,0,,
E1,139,33.23,df,2020-05-31,DF,0,,
E1,140,41.54,df,2020-06-01,DF,0,,
E1,141,36.4,df,2020-06-02,DF,0,,
E1,142,36.96,df,2020-06-03,DF,0,,
E1,143,34.64,df,2020-06-04,DF,0,,
E1,144,39.82,df,2020-06-05,DF,0,,
E1,145,35.99,df,2020-06-06,DF,0,,
E1,146,32.5,df,2020-06-07,DF,0,,
E1,147,29.89,df,2020-06-08,DF,0,,
E1,148,41.34,df,2020-06-09,DF,0,,
E1,149,35.01,df,2020-06-10,DF,0,,
E1,150,21.32,df,2020-06-11,DF,0,,
E1,151,29.62,df,2020-06-12,DF,0,,
E1,152,39.8,df,2020-06-13,DF,0,,
E1,153,40.57,df,2020-06-14,DF,0,,
E1,154,31.96,df,2020-06-15,DF,0,,
E1,155,38.93,df,2020-06-16,DF,0,,
E1,156,27.84,df,2020-06-17,DF,0,,
E1,157,34.59,df,2020-06-18,DF,0,,
E1,158,42.81,df,2020-06-19,DF,0,,
E1,159,31.91,df,2020-06-20,DF,0,,
E1,160,31.2,df,2020-06-21,DF,0,,
E1,161,29.62,df,2020-06-22,DF,0,,
E1,162,30.3,df,2020-06-23,DF,0,,
E1,163,35.4,df,2020-06-24,DF,0,,
E1,164,30.64,df,2020-06-25,DF,0,,
E1,165,32.7,df,2020-06-26,DF,0,,
E1,166,32.03,df,2020-06-27,DF,0,,
