date,measurer,block,pos,veg,bud,flw,frt,abt,mer,sec,new,notes,,
2019-05-22,Claire,E1,80,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,81,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,82,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,83,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,84,28,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,85,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,86,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,87,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,88,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,89,6,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,90,8.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,91,6,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,92,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,93,19.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,94,15.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,95,9,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,96,8.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,97,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,98,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,99,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,100,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,101,16.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,102,19.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,103,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,104,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,105,20.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,106,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,107,14.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,108,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,109,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,110,17.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,111,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,112,19.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,113,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,114,8,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,115,21,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,116,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,117,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,118,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,119,10,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,120,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,121,19,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,122,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,123,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,124,19.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,125,28,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,126,20.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,127,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,128,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,129,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,130,14.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,131,7.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,132,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,133,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,134,25,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,135,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,136,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,137,5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,138,23.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,139,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,140,18,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,141,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,142,5.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,143,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,144,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,145,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,146,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,147,7,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,148,16.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,149,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,150,11,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,151,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,152,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,153,23,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,154,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,155,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,156,NA,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,157,7.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,158,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,159,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,160,10.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,161,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Claire,E1,162,11.5,NA,NA,NA,NA,0,0,0,,,
